calc label enthalpyR enthalpyP
e2ts_E_A_D_A_B_A-e2ts_B_A_D_A_B_A e2ts_B_A_D_A_B_A -781.95521228 -321.65819062
e2ts_E_A_C_D_B_A-e2ts_E_A_C_E_B_A e2ts_E_A_C_E_B_A -741.12888778 -280.84090703
e2ts_E_A_C_C_A_C e2ts_E_A_C_C_A_C -417.98722784 -317.71596337
e2ts_E_A_C_A_A_A-e2ts_E_A_C_E_A_A e2ts_E_A_C_E_A_A -381.11676600 -280.84089927
e2ts_E_A_A_E_C_B-e2ts_E_D_A_E_C_B e2ts_E_D_A_E_C_B -2801.42785163 -227.93469127
e2ts_E_A_A_E_C_B-e2ts_A_A_A_E_C_B e2ts_A_A_A_E_C_B -2707.03541374 -133.54041798
e2ts_E_A_A_D_A_A-e2ts_E_A_C_D_A_A e2ts_E_A_C_D_A_A -365.08380453 -264.80796329
e2ts_E_A_A_C_A_A e2ts_E_A_A_C_A_A -325.91088763 -225.63426122
e2ts_E_A_A_B_B_A e2ts_E_A_A_B_B_A -798.00583576 -337.71034302
e2ts_E_A_A_A_C_B e2ts_E_A_A_A_C_B -2707.03909104 -133.54042309
e2ts_E_A_A_A_B_B-e2ts_A_A_A_A_B_B e2ts_A_A_A_A_B_B -538.63132507 -78.32107427
e2ts_E_A_A_A_A_A e2ts_E_A_A_A_A_A -233.83244824 -133.54042407
e2ts_D_E_D_E_A_A-e2ts_E_E_D_E_A_A e2ts_E_E_D_E_A_A -383.44255698 -283.14958122
e2ts_D_E_D_C_B_A-e2ts_A_E_D_C_B_A e2ts_A_E_D_C_B_A -725.09541440 -264.80794488
e2ts_D_E_D_A_B_B-e2ts_D_C_D_A_B_B e2ts_D_C_D_A_B_B -709.06127454 -248.76346849
e2ts_D_E_D_A_B_A-e2ts_D_E_D_A_B_B e2ts_D_E_D_A_B_B -672.19701034 -211.89508745
e2ts_D_E_D_A_A_A-e2ts_D_E_C_A_A_A e2ts_D_E_C_A_A_A -365.09334252 -264.81521897
e2ts_D_E_D_A_A_A e2ts_D_E_D_A_A_A -312.18518749 -211.89507290
e2ts_D_E_B_A_C_B e2ts_D_E_B_A_C_B -2950.37417580 -376.89029254
e2ts_D_E_A_E_A_A-e2ts_D_E_A_C_A_A e2ts_D_E_A_C_A_A -365.09270031 -264.81278017
e2ts_D_E_A_E_A_A-e2ts_A_E_A_E_A_A e2ts_A_E_A_E_A_A -289.03956499 -188.74861798
e2ts_D_E_A_D_A_A-e2ts_D_E_A_C_A_A e2ts_D_E_A_C_A_A -365.09269650 -264.81275818
e2ts_D_E_A_D_A_A-e2ts_D_D_A_D_A_A e2ts_D_D_A_D_A_A -296.14407956 -195.85058874
e2ts_D_E_A_C_C_B e2ts_D_E_A_C_C_B -2838.29802367 -264.81278762
e2ts_D_E_A_C_B_A e2ts_D_E_A_C_B_A -725.10369481 -264.81279488
e2ts_D_E_A_A_A_A e2ts_D_E_A_A_A_A -273.01365358 -172.71995281
e2ts_D_D_E_A_B_B-e2ts_D_D_C_A_B_B e2ts_D_D_C_A_B_B -709.06818282 -248.76538960
e2ts_D_D_E_A_B_A-e2ts_D_D_E_A_B_C e2ts_D_D_E_A_B_C -672.19743925 -211.89153265
e2ts_D_D_E_A_B_A-e2ts_D_D_D_A_B_A e2ts_D_D_D_A_B_A -656.16079285 -195.85058428
e2ts_D_D_E_A_B_A e2ts_D_D_E_A_B_A -672.19444459 -211.89139187
e2ts_D_D_C_A_A_A e2ts_D_D_C_A_A_A -349.05211918 -248.76536862
e2ts_D_D_A_E_B_B-e2ts_D_D_E_E_B_B e2ts_D_D_E_E_B_B -727.41543669 -267.11048085
e2ts_D_D_A_E_B_A-e2ts_D_D_A_E_B_C e2ts_D_D_A_E_B_C -672.19743655 -211.89153313
e2ts_D_D_A_D_C_B e2ts_D_D_A_D_C_B -2769.35565824 -195.84955954
e2ts_D_D_A_D_B_D-e2ts_D_D_C_D_B_B e2ts_D_D_C_D_B_B -748.24128903 -287.93951556
e2ts_D_D_A_D_B_C-e2ts_D_D_A_A_B_C e2ts_D_D_A_A_B_C -616.98963257 -156.67622613
e2ts_D_D_A_C_B_A e2ts_D_D_A_C_B_A -709.06819100 -248.76539973
e2ts_D_D_A_A_C_B e2ts_D_D_A_A_C_B -2730.18451335 -156.67622517
e2ts_D_D_A_A_B_B e2ts_D_D_A_A_B_B -616.98962880 -156.67622374
e2ts_D_C_E_D_B_A-e2ts_D_A_E_D_B_A e2ts_D_A_E_D_B_A -672.18990928 -211.89251043
e2ts_D_C_D_A_B_A-e2ts_E_C_D_A_B_A e2ts_E_C_D_A_B_A -264.80091049
e2ts_D_C_A_E_B_A-e2ts_D_C_D_E_B_A e2ts_D_C_D_E_B_A -764.27368143 -303.98907541
e2ts_D_C_A_E_B_A-e2ts_D_C_A_E_B_B e2ts_D_C_A_E_B_B -725.09620784 -264.80795438
e2ts_D_C_A_E_B_A-e2ts_D_B_A_E_B_A e2ts_D_B_A_E_B_A -837.17534272 -376.88343596
e2ts_D_C_A_A_C_B-e2ts_C_C_A_A_C_B e2ts_C_C_A_A_C_B -2835.97169146 -262.47968333
e2ts_D_C_A_A_C_A e2ts_D_C_A_A_C_A -2783.08356090 -209.58435290
e2ts_D_C_A_A_B_B e2ts_D_C_A_A_B_B -669.88773199 -209.58432760
e2ts_D_C_A_A_B_A e2ts_D_C_A_A_B_A -669.88772779 -209.58437916
e2ts_D_C_A_A_A_A e2ts_D_C_A_A_A_A -309.87089354 -209.58433902
e2ts_D_B_E_E_B_A-e2ts_D_C_E_E_B_A e2ts_D_C_E_E_B_A -780.31263624 -320.03428969
e2ts_D_B_E_A_A_A-e2ts_A_B_E_A_A_A e2ts_A_B_E_A_A_A -437.98113651 -337.70981477
e2ts_D_B_D_A_A_D-e2ts_D_C_D_A_A_A e2ts_D_C_D_A_A_A -349.04414723 -248.76343587
e2ts_D_B_D_A_A_D-e2ts_A_B_D_A_A_A e2ts_A_B_D_A_A_A -421.91811162 -321.65456522
e2ts_D_B_D_A_A_C-e2ts_D_B_A_A_A_A e2ts_D_B_A_A_A_A -421.95740090 -321.66002551
e2ts_D_B_D_A_A_B-e2ts_D_D_D_A_A_A e2ts_D_D_D_A_A_A -296.14408093 -195.85060466
e2ts_D_B_A_D_A_D-e2ts_D_D_A_D_A_A e2ts_D_D_A_D_A_A -296.14408003 -195.85054177
e2ts_D_B_A_D_A_D-e2ts_D_C_A_D_A_A e2ts_D_C_A_D_A_A -349.04218640 -248.76352734
e2ts_D_B_A_D_A_A-e2ts_D_B_A_E_A_A e2ts_D_B_A_E_A_A -477.16338780 -376.88340904
e2ts_D_B_A_D_A_A e2ts_D_B_A_D_A_A -461.12915795 -360.83596210
e2ts_D_B_A_A_B_B e2ts_D_B_A_A_B_B -321.66178537
e2ts_D_B_A_A_A_A e2ts_D_B_A_A_A_A -421.95739908 -321.66002721
e2ts_D_A_E_E_B_B-e2ts_A_A_E_E_B_B e2ts_A_A_E_E_B_B -649.05700969 -188.76116105
e2ts_D_A_E_D_A_D-e2ts_D_A_E_D_A_C e2ts_D_A_E_D_A_C -211.89248525
e2ts_D_A_E_A_C_A-e2ts_D_A_E_E_C_A e2ts_D_A_E_E_C_A -2801.43166449 -227.93882249
e2ts_D_A_E_A_C_A-e2ts_D_A_E_A_C_C e2ts_D_A_E_A_C_C -2746.21326921 -172.71481881
e2ts_D_A_E_A_B_C e2ts_D_A_E_A_B_C -633.01729378 -172.71481166
e2ts_D_A_E_A_B_A-e2ts_D_A_E_A_B_B e2ts_D_A_E_A_B_B -633.01731163 -172.71481621
e2ts_D_A_E_A_B_A e2ts_D_A_E_A_B_A -633.01731232 -172.71479678
e2ts_D_A_E_A_A_A-e2ts_E_A_E_A_A_A e2ts_E_A_E_A_A_A -289.03975843 -188.74681560
e2ts_D_A_E_A_A_A-e2ts_D_D_E_A_A_A e2ts_D_D_E_A_A_A -312.17972318 -211.89136160
e2ts_D_A_D_E_B_A-e2ts_D_C_D_E_B_A e2ts_D_C_D_E_B_A -764.27140615 -303.98906539
e2ts_D_A_D_E_B_A-e2ts_D_A_D_E_B_B e2ts_D_A_D_E_B_B -672.19068482 -211.89507197
e2ts_D_A_D_E_A_C e2ts_D_A_D_E_A_C -312.17537153 -211.89505154
e2ts_D_A_D_D_C_B-e2ts_A_A_D_D_C_B e2ts_A_A_D_D_C_B -2730.17587724 -156.67623247
e2ts_D_A_D_D_B_A e2ts_D_A_D_D_B_A -656.15601437 -195.85063527
e2ts_D_A_D_A_C_A-e2ts_D_A_D_E_C_A e2ts_D_A_D_E_C_A -2785.38983207 -211.89506240
e2ts_D_A_D_A_C_A-e2ts_D_A_D_A_C_B e2ts_D_A_D_A_C_B -2730.17796165 -156.67452314
e2ts_D_A_D_A_C_A e2ts_D_A_D_A_C_A -2730.17796338 -156.67455538
e2ts_D_A_D_A_B_A e2ts_D_A_D_A_B_A -616.98222824 -156.67456124
e2ts_D_A_C_D_A_B-e2ts_D_A_C_A_A_B e2ts_D_A_C_A_A_B -309.87014788 -209.58478555
e2ts_D_A_C_D_A_A-e2ts_D_A_C_D_A_B e2ts_D_A_C_D_A_B -349.04379068 -248.76117471
e2ts_D_A_C_A_C_B e2ts_D_A_C_A_C_B -2783.08293762 -209.58479775
e2ts_D_A_C_A_B_A e2ts_D_A_C_A_B_A -669.88726812 -209.58478341
e2ts_D_A_A_E_B_A-e2ts_D_A_A_E_B_B e2ts_D_A_A_E_B_B -633.01512734 -172.71538102
e2ts_D_A_A_E_A_C e2ts_D_A_A_E_A_C -272.99812780 -172.71534669
e2ts_D_A_A_E_A_A-e2ts_C_A_A_E_A_A e2ts_C_A_A_E_A_A -325.89481784 -225.63426975
e2ts_D_A_A_D_C_A-e2ts_D_A_A_D_C_C e2ts_D_A_A_D_C_C -2730.17675213 -156.67263297
e2ts_D_A_A_D_B_B-e2ts_D_A_A_D_B_C e2ts_D_A_A_D_B_C -616.98098625 -156.67267502
e2ts_D_A_A_D_B_B e2ts_D_A_A_D_B_B -616.98099209 -156.67268745
e2ts_D_A_A_D_B_A e2ts_D_A_A_D_B_A -616.98099040 -156.67146310
e2ts_D_A_A_D_A_A-e2ts_D_D_A_D_A_A e2ts_D_D_A_D_A_A -296.14408039 -195.85060372
e2ts_D_A_A_D_A_A-e2ts_D_A_D_D_A_A e2ts_D_A_D_D_A_A -296.13806857 -195.84959592
e2ts_D_A_A_D_A_A e2ts_D_A_A_D_A_A -256.96308209 -156.67147634
