calc label enthalpy
e2ts_A_C_E_E_C_C_e2ts_E_C_E_E_C_C e2ts_A_C_E_E_C_C_e2ts_E_C_E_E_C_C -3369.32023808
e2ts_E_C_A_C_A_A_e2ts_B_C_A_C_A_A e2ts_E_C_A_C_A_A_e2ts_B_C_A_C_A_A -567.45454961
e2ts_E_E_A_D_C_A_e2ts_E_E_A_B_C_A e2ts_E_E_A_D_C_A_e2ts_E_E_A_B_C_A -2966.97427694
e2ts_D_C_E_C_C_C_e2ts_C_C_E_C_C_C e2ts_D_C_E_C_C_C_e2ts_C_C_E_C_C_C -3443.03639797
e2ts_A_E_E_E_B_A_e2ts_E_E_E_E_B_A e2ts_A_E_E_E_B_A_e2ts_E_E_E_E_B_A -760.03268019
e2ts_B_E_A_D_C_B_e2ts_B_E_A_D_C_C e2ts_B_E_A_D_C_B_e2ts_B_E_A_D_C_C -3410.13262472
e2ts_B_E_D_A_B_B_e2ts_B_E_D_A_C_B e2ts_B_E_D_A_B_B_e2ts_B_E_D_A_C_B -3050.09457215
e2ts_C_A_E_A_C_A_e2ts_C_A_E_B_C_A e2ts_C_A_E_A_C_A_e2ts_C_A_E_B_C_A -3003.80932476
e2ts_D_E_E_C_A_A_e2ts_D_E_E_C_C_A e2ts_D_E_E_C_A_A_e2ts_D_E_E_C_C_A -2894.06100809
e2ts_C_E_C_E_B_A_e2ts_B_E_C_E_B_A e2ts_C_E_C_E_B_A_e2ts_B_E_C_E_B_A -945.82931237
e2ts_A_D_E_E_C_C_e2ts_C_D_E_E_C_C e2ts_A_D_E_E_C_C_e2ts_C_D_E_E_C_C -3353.26727674
e2ts_C_D_D_D_B_B_e2ts_C_D_D_D_B_C e2ts_C_D_D_D_B_B_e2ts_C_D_D_D_B_C -1207.98144946
e2ts_D_D_E_D_C_C_e2ts_D_D_E_C_C_C e2ts_D_D_E_D_C_C_e2ts_D_D_E_C_C_C -3337.22749812
e2ts_D_D_A_C_B_B_e2ts_D_D_A_C_A_B e2ts_D_D_A_C_B_B_e2ts_D_D_A_C_A_B -448.77310682
e2ts_A_D_D_C_A_B_e2ts_A_A_D_C_A_B e2ts_A_D_D_C_A_B_e2ts_A_A_D_C_A_B -409.58132367
e2ts_C_C_E_E_C_C_e2ts_C_B_E_E_C_C e2ts_C_C_E_E_C_C_e2ts_C_B_E_E_C_C -3518.23849698
e2ts_A_D_D_D_C_B_e2ts_A_D_C_D_C_B e2ts_A_D_D_D_C_B_e2ts_A_D_C_D_C_B -2921.98429733
e2ts_C_A_D_D_B_C_e2ts_C_D_D_D_B_C e2ts_C_A_D_D_B_C_e2ts_C_D_D_D_B_C -1207.98152103
e2ts_B_A_E_D_B_C_e2ts_B_B_E_D_B_C e2ts_B_A_E_D_B_C_e2ts_B_B_E_D_B_C -1501.06447718
e2ts_A_C_C_B_A_A_e2ts_A_C_C_B_C_A e2ts_A_C_C_B_A_A_e2ts_A_C_C_B_C_A -3040.67652421
e2ts_E_C_E_A_C_A_e2ts_E_C_E_D_C_A e2ts_E_C_E_A_C_A_e2ts_E_C_E_D_C_A -2894.05283968
e2ts_E_C_C_C_C_C_e2ts_E_B_C_C_C_C e2ts_E_C_C_C_C_C_e2ts_E_B_C_C_C_C -3555.13783252
