calc label enthalpyR enthalpyP
sn2_E_C_D_C_A_A sn2_E_C_D_C_A_A -457.16725001 -358.05147259
sn2_E_C_D_B_B_B sn2_E_C_D_B_B_B -929.25033185 -569.24656439
sn2_E_C_D_B_B_A sn2_E_C_D_B_B_A -929.25594463 -470.12822937
sn2_E_C_D_A_C_B sn2_E_C_D_A_C_B -2838.29693134 -365.08450741
sn2_E_C_D_A_B_B sn2_E_C_D_A_B_B -725.10096899 -365.08451333
sn2_E_C_D_A_A_D sn2_E_C_D_A_A_D -365.08454326 -2838.29693247
sn2_E_C_D_A_A_A sn2_E_C_D_A_A_A -365.08915499 -265.97294971
sn2_E_C_C_D_C_B sn2_E_C_C_D_C_B -2930.37067864 -457.16399115
sn2_E_C_C_D_B_B sn2_E_C_C_D_B_B -817.17480363 -457.16398848
sn2_E_C_C_D_B_A sn2_E_C_C_D_B_A -817.17177282 -358.05191128
sn2_E_C_C_D_A_C sn2_E_C_C_D_A_C -457.15907091 -817.17557178
sn2_E_C_C_D_A_A sn2_E_C_C_D_A_A -457.15907904 -358.05192708
sn2_E_C_C_C_B_C sn2_E_C_C_C_B_C -870.06087016 -870.06423588
sn2_E_C_C_C_B_B sn2_E_C_C_C_B_B -870.06086207 -510.05343750
sn2_E_C_C_C_B_A sn2_E_C_C_C_B_A -870.06083727 -410.94476189
sn2_E_C_C_C_A_C sn2_E_C_C_C_A_C -510.04757803 -870.06423922
sn2_E_C_C_A_B_D sn2_E_C_C_A_B_D -777.99618062 -2891.19122149
sn2_E_C_C_A_B_C sn2_E_C_C_A_B_C -777.99617736 -777.99618009
sn2_E_C_C_A_B_B sn2_E_C_C_A_B_B -778.00000174 -417.98371096
sn2_E_C_C_A_B_A sn2_E_C_C_A_B_A -777.99618436 -318.87627147
sn2_E_C_C_A_A_D sn2_E_C_C_A_A_D -417.98373585 -2891.19704149
sn2_E_C_B_C_A_B sn2_E_C_B_C_A_B -622.12294288 -622.12623625
sn2_E_C_B_B_B_C sn2_E_C_B_B_B_C -1094.20868862 -1094.21442629
sn2_E_C_B_B_A_B sn2_E_C_B_B_A_B -734.19698702 -734.20164895
sn2_E_C_B_A_C_D sn2_E_C_B_A_C_D -3003.26424964 -3003.26430532
sn2_E_C_B_A_B_B sn2_E_C_B_A_B_B -890.07343763 -530.05651334
sn2_E_C_B_A_B_A sn2_E_C_B_A_B_A -890.06914923 -430.95282887
sn2_E_C_B_A_A_D sn2_E_C_B_A_A_D -530.05661529 -3003.27268631
sn2_E_C_B_A_A_C sn2_E_C_B_A_A_C -530.05661482 -890.07625227
sn2_E_C_B_A_A_A sn2_E_C_B_A_A_A -530.06551378 -430.95284113
sn2_E_C_A_E_B_B sn2_E_C_A_E_B_B -741.13554931 -381.11920431
sn2_E_C_A_D_C_B sn2_E_C_A_D_C_B -2838.29558119 -365.08355636
sn2_E_C_A_D_B_D sn2_E_C_A_D_B_D -725.09571447 -2838.29559431
sn2_E_C_A_D_B_B sn2_E_C_A_D_B_B -725.09943729 -365.08355715
sn2_E_C_A_D_A_C sn2_E_C_A_D_A_C -365.08353300 -725.09939988
sn2_E_C_A_D_A_A sn2_E_C_A_D_A_A -365.08754478 -265.97262203
sn2_E_C_A_C_C_B sn2_E_C_A_C_C_B -2891.19844089 -417.98356255
sn2_E_C_A_C_B_B sn2_E_C_A_C_B_B -777.99572835 -417.98355993
sn2_E_C_A_C_A_C sn2_E_C_A_C_A_C -417.98352088 -777.99573227
sn2_E_C_A_C_A_B sn2_E_C_A_C_A_B -417.98357052 -417.98356391
sn2_E_C_A_C_A_A sn2_E_C_A_C_A_A -417.99095678 -318.87604541
sn2_E_C_A_B_B_B sn2_E_C_A_B_B_B -890.07731509 -530.06548919
sn2_E_C_A_B_A_B sn2_E_C_A_B_A_B -530.05832281 -530.05825773
sn2_E_C_A_B_A_A sn2_E_C_A_B_A_A -530.06552110 -430.95286550
sn2_E_C_A_A_C_B sn2_E_C_A_A_C_B -2799.12347119 -325.91122456
sn2_E_C_A_A_A_D sn2_E_C_A_A_A_D -325.91120980 -2799.12348999
sn2_E_C_A_A_A_C sn2_E_C_A_A_A_C -325.91121036 -685.92738183
sn2_E_C_A_A_A_B sn2_E_C_A_A_A_B -325.91119947 -325.91118934
sn2_E_B_E_E_C_B sn2_E_B_E_E_C_B -3021.62719477 -548.42157047
sn2_E_B_E_E_A_A sn2_E_B_E_E_A_A -548.43203803 -449.31285042
sn2_E_B_E_C_A_D sn2_E_B_E_C_A_D -585.28320357 -3058.49368323
sn2_E_B_E_A_B_B sn2_E_B_E_A_B_B -853.21888685 -493.20714812
sn2_E_B_E_A_A_D sn2_E_B_E_A_A_D -493.20760739 -2966.41695780
sn2_E_B_E_A_A_C sn2_E_B_E_A_A_C -493.20945235 -853.22144329
sn2_E_B_D_D_C_B sn2_E_B_D_D_C_B -2989.55012690 -516.34852089
sn2_E_B_D_D_A_A sn2_E_B_D_D_A_A -516.35014781 -417.23503358
sn2_E_B_D_C_B_B sn2_E_B_D_C_B_B -929.25849587 -569.25033536
sn2_E_B_D_C_A_B sn2_E_B_D_C_A_B -569.25063486 -569.25392588
sn2_E_B_D_A_B_B sn2_E_B_D_A_B_B -837.18159166 -477.17459155
sn2_E_B_D_A_A_C sn2_E_B_D_A_A_C -477.17503045 -837.18158921
sn2_E_B_D_A_A_B sn2_E_B_D_A_A_B -477.17487892 -477.17504181
sn2_E_B_D_A_A_A sn2_E_B_D_A_A_A -477.17506605 -378.06176216
sn2_E_B_C_E_B_B sn2_E_B_C_E_B_B -945.28963348 -585.28518376
