calc label enthalpyR enthalpyP
e2ts_E_D_A_C_B_A-e2ts_E_B_A_C_B_A e2ts_E_B_A_C_B_A -889.82915127 -429.79108749
e2ts_E_D_A_C_B_A e2ts_E_D_A_C_B_A -725.10419725 -264.81491170
e2ts_E_D_A_C_A_A-e2ts_E_D_E_C_A_A e2ts_E_D_E_C_A_A -420.30007078 -320.00817037
e2ts_E_D_A_C_A_A-e2ts_E_D_D_C_A_A e2ts_E_D_D_C_A_A -404.26723867 -303.98739353
e2ts_E_D_A_C_A_A-e2ts_E_D_A_A_A_A e2ts_E_D_A_A_A_A -273.01318234 -172.71983936
e2ts_E_D_A_C_A_A-e2ts_D_D_A_C_A_A e2ts_D_D_A_C_A_A -349.05212444 -248.76541786
e2ts_E_D_A_C_A_A e2ts_E_D_A_C_A_A -365.09333224 -264.81521951
e2ts_E_D_A_B_C_B-e2ts_E_D_E_B_C_B e2ts_E_D_E_B_C_B -3005.58860784 -432.09460528
e2ts_E_D_A_B_C_B-e2ts_E_D_A_E_C_B e2ts_E_D_A_E_C_B -2801.42733831 -227.92931076
e2ts_E_D_A_B_C_B-e2ts_E_D_A_C_C_B e2ts_E_D_A_C_C_B -2838.29857557 -264.81466694
e2ts_E_D_A_A_C_A-e2ts_E_C_A_A_C_A e2ts_E_C_A_A_C_A -225.62419301
e2ts_E_D_A_A_B_A e2ts_E_D_A_A_B_A -633.02515699 -172.71997845
e2ts_E_C_E_E_A_A-e2ts_E_E_E_E_A_A e2ts_E_E_E_E_A_A -399.49303085 -299.19272482
e2ts_E_C_E_E_A_A-e2ts_E_A_E_E_A_A e2ts_E_A_E_E_A_A -344.26522149 -243.97799035
e2ts_E_C_E_E_A_A-e2ts_C_C_E_E_A_A e2ts_C_C_E_E_A_A -473.17959606 -372.94546848
e2ts_E_C_E_E_A_A-e2ts_A_C_E_E_A_A e2ts_A_C_E_E_A_A -381.11254009 -280.85934276
e2ts_E_C_E_E_A_A e2ts_E_C_E_E_A_A -436.33847695 -336.06850133
e2ts_E_C_E_D_B_B-e2ts_E_C_C_D_B_B e2ts_E_C_C_D_B_B -817.16610449 -356.88676847
